,earned,headline,hours,jobs,rate,skills
17,,Infrastructure Automation Engineer/Linux Systems Admin,,,,"['Linux System Administration', 'CentOS', 'Bash Shell Scripting', 'Apache Administration', 'Zabbix', 'Amazon EC2', 'Automation', 'DevOps', 'Ansible', 'Terraform']"
18,$8k+,Virtual Entrepreneur,827,1,$31.25,"['Web Services', 'Social Media Marketing', 'Administrative Support', 'Travel Agent', 'Event Management', 'Enterprise Resource Planning (ERP)', 'Legal Assistance', 'Executive Assistant', 'Virtual Assistant', 'Bookkeeping']"
19,$10k+,Professional Digital Designer & Content Creator,378,15,$45.00,"['Graphic Design', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Blog Writing', 'Content Strategy', 'Digital Marketing', 'Responsive Web Design', 'User Interface Design', 'User Experience Design']"
20,$50k+,Affordable Bookkeeping & Payroll-Quickbooks Expert,"1,829",64,$37.50,"['Accounting', 'Payroll Processing', 'Bookkeeping', 'Intuit QuickBooks', 'Accounts Payable Management', 'Accounts Receivable Management', 'Job Costing', 'Tax Preparation', 'Human Resource Management', 'Microsoft Word']"
21,$9k+,"Proofreader, Copy Editor, Editor, Writer",346,31,$24.00,"['Writing', 'Editing', 'Copyediting', 'Editorial Writing', 'English', 'English Grammar', 'English Spelling', 'English Punctuation', 'Proofreading', 'English Proofreading']"
22,$5k+,Full-time Freelancer,412,46,$25.00,"['Website Development', 'Web Design', 'Social Media Management', 'Content Writing', 'SEO Writing', 'Graphic Design', 'Internet Research', 'Administrative Support', 'Copywriting', 'Search Engine Optimization (SEO)']"
23,$200k+,Snr. Web/Mobile UI/UX Designer/Developer,"2,659",28,$100.00,"['Android App Development', 'WordPress', 'Sketch App', 'Mobile UI Design', 'Node.js', 'PHP', 'Rapid Prototyping', 'Swift', 'Objective-C', 'iOS Development']"
24,$20k+,"SEM Manager, Developer",596,83,$20.00,"['VBA', 'VB.NET', 'PHP', 'JavaScript', 'Adobe Acrobat', 'SQL', 'Software Debugging', 'C#', 'Application Programming', 'Google AdWords Development']"
25,,Animator / Motion Designer,,,,"['Adobe After Effects', 'Motion Graphics', 'Animation', '2D Animation', '3D Animation', 'Illustration', 'Adobe Photoshop', 'Adobe Illustrator', 'Maxon Cinema 4D', 'Character Design']"
26,$100k+,Operations Admin Customer Relations Specialist,"7,817",21,$25.00,"['Live Chat Operator', 'Customer Support', 'Customer Service', 'Administrative Support', 'Technical Support']"
27,,Motion Designer | After Effects | C4d | Octane | Arnold | Mocha Artist,,,,"['Maxon Cinema 4D', 'Adobe After Effects', 'Adobe Photoshop', 'Adobe Illustrator', 'Steinberg Cubase', 'Adobe InDesign', 'Adobe Premiere', 'Final Cut Pro', 'Final Cut Pro X']"
28,,Magento / Magento 2 Developer. Certified M2 Solution Specialist.,,,,"['Ecommerce Platform Development', 'Magento', 'Magento 2', 'PHP', 'jQuery', 'MySQL Programming', 'HTML', 'CSS', 'JavaScript', 'Java']"
29,$60k+,Instructional Designer,"1,021",19,$60.00,"['Adobe Captivate', 'Camtasia', 'Articulate Storyline', 'Prezi', 'Instructional Design', 'SCORM', 'Voice Talent', 'Blackboard', 'e-Learning']"
30,$10k+,Sr. Recruiter/Virtual Assistant,881,23,$20.00,"['Recruiting', 'Data Entry', 'Human Resource Management', 'LinkedIn Recruiting', 'Virtual Assistant', 'Administrative Support', 'Resume Writing', 'Job Description Writing']"
31,$200k+,"Public Relations Specialist, Social Media Marketer","9,845",35,$30.00,"['Technical Writing', 'Media Relations', 'Public Relations', 'Content Writing', 'Creative Writing', 'Social Media Marketing']"
32,$6k+,Software Quality Assurance Tester,441,9,$37.50,"['Software Testing', 'Test Case Design', 'Unit Testing', 'User Acceptance Testing', 'Regression Testing', 'Defect Tracking']"
33,$100k+,Electronics Engineer and Software Developer,"3,495",9,$75.00,"['Electrical Engineering', 'LabVIEW', 'Hardware Troubleshooting', 'Circuit Design', 'Requirements Analysis', 'Microsoft Excel', 'VBA', 'Software Testing']"
34,$60k+,Editor & English/ESL Instructor,"4,111",23,$25.00,"['Editing', 'Proofreading', 'Content Writing', 'Copywriting', 'Technical Editing', 'Content Editing', 'Academic Editing', 'Managing Editor', 'Assistant Editor', 'English Proofreading']"
35,$20k+,Educational & Nonfiction Book Design | Catalog Design Expert,275,73,$46.00,"['Book Design', 'Product Design', 'Brochure Design', 'Logo Design', 'Adobe InDesign', 'Print Design', 'Graphic Design', 'Print Layout Design', 'Poster Design', 'T-Shirt Design']"
36,$50k+,Salesforce Senior Developer,567,23,$66.00,"['Visualforce', 'Salesforce Apex', 'JavaScript', 'Objective-C']"
37,$60k+,"Expert writer, editor, and illustrator","2,443",60,$23.33,"['Copyediting', 'English Proofreading', 'Blog Writing', 'Article Writing', 'Creative Writing', 'Technical Writing', 'Search Engine Optimization (SEO)', 'Editorial Writing', 'Google Docs', 'Microsoft Word']"
38,$7k+,Technical and customer support / Community and social management,892,9,$13.00,"['HTML', 'Windows Administration', 'Technical Support', 'Online Community Management', 'WordPress', 'Virtual Private Server (VPS)']"
39,$100k+,Online Marketing Strategy Consultant | SEO Strategist,"3,544",76,$75.00,"['Search Engine Optimization (SEO)', 'Internet Marketing', 'Social Media Marketing', 'Google Analytics', 'WordPress', 'SEO Keyword Research', 'SEO Audit', 'Shopify', 'Yoast SEO']"
40,$7k+,"Bookkeeping, Accounting & Payroll Expert",529,9,$20.00,"['Bookkeeping', 'Payroll Processing', 'Account Management', 'Intuit QuickBooks', 'Accounts Payable Management', 'Accounts Receivable Management', 'Accounting', 'Bank Reconciliation', 'Financial Reporting']"
41,$40k+,Land Planner - Sketchup 3D modeler - Illustrator - Rendering,360,113,$65.00,"['3D Rendering', '3D Modeling', '3D Design', 'Illustration', 'Graphic Design', 'Computer Graphics', 'Video Editing', 'Video Production']"
42,$20k+,Freelance Copywriter | Content and Strategy That Converts,493,70,$97.00,"['Internet Research', 'Writing', 'Content Writing', 'Creative Writing', 'Blog Writing', 'Copywriting', 'Email Marketing', 'Email Copywriting', 'SEO Writing', 'Newsletter Writing']"
43,$60k+,Excel Guru for Financial Modeling,"1,258",6,$55.56,"['Microsoft Excel', 'Financial Accounting', 'Financial Modeling', 'Financial Analysis']"
44,$50k+,taking you from concept to bookstore shelves,,,$35.00,
45,$50k+,Freelance Data Entry and Research Professional,"4,043",1,$12.50,"['Research', 'Internet Research', 'Data Entry', 'Microsoft Office', 'OpenOffice', 'Google Docs', 'HTML', 'CSS', 'Wiki', 'Typing']"
46,$10k+,CopyWriting,451,8,$75.00,"['Blog Writing', 'Newsletter Writing', 'Copywriting', 'Content Strategy', 'SEO Writing', 'Pinterest Marketing', 'Ghostwriting', 'Landing Pages', 'Email Marketing']"
47,$10k+,Steel Structural 3D Modeler & Detailer,296,21,$25.00,"['Tekla Structures', 'Advance Steel', 'Autodesk Revit', 'AutoCAD', '3D Modeling', 'Structural Engineering']"
48,$40k+,CSR/Virtual Assistant/Administrative Assistant/Operations Analyst,"3,331",8,$21.30,"['Administrative Support', 'Customer Service', 'Data Entry', 'Project Management', 'Research', 'Microsoft Office', 'Product Marketing', 'Sales Promotion', 'Sales Management', 'Vendor Management Systems']"
49,$10k+,"Expert Content Writer, Book Reviewer, Editor",243,33,$17.00,"['English Grammar', 'Online Writing', 'eBooks', 'Microsoft Word', 'Creative Writing', 'Reviews', 'Content Writing', 'Blog Writing', 'English Proofreading', 'English']"
50,$60k+,Spanish and English Translations,"2,987",87,$20.44,"['Translation English Spanish', 'Translation Spanish English', 'Transcription', 'Translation', 'Article Writing']"
51,$20k+,Joomla and Wordpress Expert,"1,046",53,$35.00,"['Joomla', 'JavaScript', 'HTML', 'PHP', 'CSS', 'PrestaShop', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign']"
52,$70k+,"Data Entry, Research, List Building, Data Cleansing and Operations.","5,984",78,$16.50,"['Data Mining', 'Data Scraping', 'Data Cleansing', 'Lead Generation', 'Internet Research', 'Data Entry', 'Administrative Support', 'Operations Management', 'Investment Research', 'Microsoft Excel']"
53,$100k+,,"3,262",51,$27.78,"['CakePHP', 'Zend Framework', 'PHP', 'MySQL Administration', 'CodeIgniter', 'Talend Open Studio']"
54,$100k+,Screenwriter,960,264,$50.00,"['Screenwriting', 'Creative Writing', 'Humor Writing']"
55,$60k+,Native Spanish translator/editor/proofreader/interpreter,618,199,$30.00,"['Translation English Spanish', 'Editing', 'Proofreading', 'Internet Research', 'Microsoft Word']"
56,$100k+,Writer,"3,508",43,$35.00,"['Technical Writing', 'Article Writing', 'Article Submission', 'Content Management', 'Financial Analysis', 'Cooking', 'Search Engine Optimization (SEO)', 'Social Media Marketing']"
57,$40k+,Web Researcher/ Translator,"2,627",1,$16.67,
58,$9k+,Writer | Editor | Transcriptionist | Admin | Biller | Scheduler,456,13,$12.00,"['Creative Writing', 'Legal Writing', 'English Proofreading', 'English Grammar', 'English Spelling', 'Slang-style Writing', 'Editing', 'Transcription']"
59,,2D Animator,,,,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Adobe Flash', 'Adobe Dreamweaver', 'Adobe Acrobat', 'Adobe After Effects', 'Adobe Creative Suite']"
60,$100k+,"Creative Director, brand specialist, designer","1,294",43,$39.00,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Infographics', 'Graphic Design']"
61,$30k+,Specializes in Business and Education,"1,326",2,$27.00,"['Content Writing', 'Microsoft Excel', 'Microsoft Word', 'Computer Skills', 'Microsoft PowerPoint', 'Essay Writing', 'Fact Checking', 'Grant Writing', 'Letter Writing', 'Non-Fiction Writing']"
62,$20k+,eLearning Specialsit,498,12,$45.00,"['Instructional Design', 'Adobe eLearning Suite', 'Learning Management System (LMS)', 'Moodle', 'Instructure CANVAS', 'Blackboard', 'Project Management']"
63,$30k+,Enterprise HR Professional- Virtual Talent Management and Acquisitions,627,20,$120.00,"['Human Resource Management', 'Recruiting', 'Training Online LMS', 'Employee Training', 'HR Benefits', 'HR Policies', 'HRIS Implementation', 'HR Consulting', 'Process Improvement', 'Leadership Development']"
64,$20k+,Experienced Customer Service Professional,"1,752",2,$15.00,"['English Spelling', 'Typing']"
65,$9k+,Java & Web Developer,245,47,$37.50,"['Java', 'HTML', 'CSS', 'SQL', 'Unix', 'PHP', 'JDBC', 'MySQL Administration', 'Unix Shell', 'English Grammar']"
66,$10k+,Digital Marketing | Social Media | Content Strategy | Writing,270,31,$50.00,"['Marketing Strategy', 'Brand Marketing', 'Brand Consulting', 'Content Marketing', 'Writing', 'Social Media Marketing', 'B2B Marketing', 'Product Marketing', 'Digital Marketing', 'Internet Marketing']"
67,$50k+,Experienced Customer Service,"4,263",2,$13.33,['Customer Service']
68,$70k+,Expert Excel VBA | Tableau | Automation for Finance & Healthcare,580,33,$179.00,"['Excel VBA', 'Automation', 'Microsoft Excel', 'Database Modeling', 'VBA', 'Consulting', 'Tableau Software', 'Data Warehousing', '""Extract, Transform and Load (ETL)""', 'SQL Programming']"
69,,Advanced Webflow and Adobe Muse Web Design,,,,"['Web Design', 'Webflow', 'Adobe Muse', 'Graphic Design', 'Adobe InDesign', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe After Effects', 'Brochure Design', 'Social Media Marketing']"
70,$80k+,"Efficient, organized, dependable and experienced","5,398",59,$25.00,"['Windows 7 Administration', 'Computer Skills', 'Social Media Marketing', 'General Office Skills', 'Microsoft Word', 'Microsoft PowerPoint', 'Time Management', 'Microsoft Excel', 'Internet Marketing', 'Marketing Strategy']"
71,$40k+,Salesforce Systems Architect,403,57,$129.00,"['Salesforce App Development', 'English Spelling']"
72,$20k+,"APA 6.0 expert, and I specialize in all levels of academic writing.",701,122,$29.00,"['Proofreading', 'Word Processing', 'Research', 'Indexing']"
73,$9k+,,289,12,$23.00,"['Creative Writing', 'English', 'English Grammar', 'English Proofreading', 'English Spelling', 'Fiction Writing', 'Microsoft Word', 'Blog Writing', ""Children's Writing"", 'Microsoft Excel']"
74,$10k+,WordPress Manager Specializing In Click Through Funnels,226,99,$50.00,"['WordPress', 'aWeber', '1ShoppingCart', 'Optimizepress', 'Internet Marketing', 'PHP', 'CSS', 'HTML5', 'Online Writing', 'Constant Contact']"
75,$20k+,PHP Web Developer,311,7,$75.00,"['Laravel Framework', 'PHP', 'Website Development', 'HTML5', 'CSS', 'JavaScript', 'MySQL Programming']"
76,$20k+,Accounting and Commercial Real Estate Finance,395,117,$55.00,"['Argus', 'Microsoft Excel', 'Accounting', 'Financial Forecasting', 'Bookkeeping', 'Intuit QuickBooks', 'Xero', 'Financial Analysis', 'Real Estate Appraisal']"
77,$10k+,Mexican doctor working as Bilingual Math Specialist in school district,541,46,$25.00,"['Translation English Spanish', 'Typing', 'Microsoft Word', 'Biology', 'Medical Writing', 'Medical Translation']"
78,$6k+,Photo-realistic Architectural Rendering,291,5,$35.00,"['3D Modeling', '3D Rendering', 'Adobe Photoshop', 'Brochure Design', 'Business Card Design', 'Interior Design']"
79,$10k+,"Web Developer, Movie Reviewer, Animator",593,28,$25.00,"['Animation', 'WordPress', 'Adobe Photoshop', 'HTML5', 'Content Writing', 'Creative Writing', 'Online Writing', 'Computer Skills', 'Adobe Illustrator', 'Microsoft Excel']"
80,$10k+,Marketing and Small Business Strategist,203,19,$45.00,"['Sales', 'Marketing Strategy', 'Business Modeling', 'Financial Forecasting', 'Financial Reporting', 'Financial Modeling']"
81,$10k+,Copywriter & Branding Specialist,549,39,$30.00,"['Product Descriptions', 'Content Writing', 'Virtual Assistant', 'WordPress', 'Social Media Marketing', 'Research', 'Landing Pages', 'Social Media Management']"
82,$100k+,PHP Expert / Drupal Developer,"8,790",94,$40.00,"['PHP', 'Drupal', 'WordPress', 'jQuery', 'HTML5', 'JavaScript', 'AJAX', 'Laravel Framework', 'CakePHP', 'AngularJS']"
83,$100k+,Professional Editor | Math | Academic | Dissertations || Data Analysis,"2,067",304,$40.00,"['Editing', 'Academic Writing', 'English Grammar', 'Statistics', 'Mathematics', 'English Proofreading', 'Technical Editing', 'Analytics', 'R', 'Statistical Computing']"
84,,Project Management and Strategy Consultant,,,,"['Project Management', 'Program Management', 'Strategic Planning', 'Fundraising', 'Project Management Professional', 'Microsoft Visio', 'Operations Management', 'Process Improvement', 'Microsoft Office', 'Microsoft Project']"
85,$10k+,Resourceful Broad-Minded Professional,"1,060",8,$22.50,"['Internet Research', 'Microsoft Excel', 'U.S. Culture', 'Microsoft Word', 'Computer Skills', 'English', 'General Office Skills', 'Travel Planning', 'Administrative Support', 'Bankruptcy']"
86,$70k+,"Expert Writer, Editor and Proofreader","3,121",52,$25.00,"['Editing', 'Writing', 'Proofreading', 'Copyediting', 'Content Marketing', 'Travel Planning', 'WordPress', 'SEO Writing', 'Business Writing', 'Blog Writing']"
87,$10k+,HR/Admin Professional,356,5,$38.00,"['Human Resource Management', 'HRM', 'Human Resource Information Systems', 'Compensation', 'Recruiting', 'Management Development', 'Learning Management System (LMS)', 'Job Definition Format (JDF)', 'Job Description Writing', 'Workday']"
88,$30k+,Freelance Illustrator,278,62,$38.00,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign']"
89,$70k+,Marketing & Sales Funnel Strategist | Speciality with ClickFunnels,"2,408",38,$45.00,"['Business Development', 'Email Marketing', 'Email Deliverability', 'Lead Generation', 'Display Ads', 'Website Development', 'Google Analytics', 'Affiliate Marketing', 'B2B Marketing', 'Ecommerce Platform Development']"
90,$50k+,"Fashion Designer, Textile/Print Designer","1,886",36,$37.50,"['Adobe Illustrator', 'Adobe Photoshop', 'Drawing', 'Graphic Design', 'Illustration', 'Storyboarding', 'Microsoft Excel', 'Sketching']"
91,$50k+,"Content Writing, Blogging, Copywriting and eBooks",285,135,$31.25,"['English', 'Translation English Spanish']"
92,$40k+,SEO Specialist | Technical Audit Expert | SEO Analyst/Strategist,"1,275",12,$85.00,"['Search Engine Optimization (SEO)', 'SEO Audit', 'SEO Keyword Research', 'Social Media Management', 'Social Media Optimization (SMO)', 'Social Media Marketing', 'Reputation Management', 'Facebook Marketing', 'Twitter Marketing']"
93,$70k+,English/French Business Translations,372,270,$35.00,"['Translation English French', 'French']"
94,$10k+,Travel & Spiritual Writer & Editor,519,41,$24.00,"['Editing', 'Proofreading', 'Travel Writing', 'Article Rewriting', 'Microsoft Office', 'Content Writing', 'Chicago Manual of Style', 'Management Skills', 'Customer Service', 'Virtual Assistant']"
95,$60k+,Fitness Writer | Certified Personal Trainer | Nutrition Specialist,276,263,$50.00,"['Physical Fitness', 'Nutrition', 'Yoga', 'Blog Writing', 'Article Writing', 'eBook Writing', 'Creative Writing', 'Copywriting', 'Ghostwriting', 'SEO Writing']"
96,$20k+,Dedicated Virtual Assistant,"2,329",117,$15.00,"['Windows 7 Administration', 'Microsoft Silverlight', 'English', 'English Grammar', 'Microsoft Word', 'Computer Skills', 'Constant Contact', 'Customer Service', 'General Office Skills', 'Microsoft Excel']"
97,$7k+,Seasoned MBA looking for extra income,386,25,$16.67,"['Microsoft Excel', 'Bookkeeping', 'Adobe Acrobat', 'Administrative Support', 'Clerical Skills', 'Computer Skills', 'Data Entry', 'Microsoft Office', 'Spreadsheets', 'Virtual Assistant']"
98,$50k+,"Expert Amazon, Ebay, & Ecommerce Management",510,57,$80.00,"['eBay Listing/Writing', 'Adobe Photoshop', 'WordPress', 'Web Design', 'Audio Production', 'Music']"
99,$30k+,Transcribing Professionally Since 1988,287,214,$16.67,"['Transcription', 'Legal Transcription', 'Typing', 'English Spelling', 'English Grammar', 'English Punctuation', 'Proofreading', 'PDF Conversion']"
100,$30k+,"Expert web, print & social media designer",394,170,$55.00,"['Adobe Creative Suite', 'Adobe InDesign', 'Adobe Photoshop', 'Adobe Illustrator', 'Mac OSX Administration', 'Keynote', 'Adobe Dreamweaver', 'Adobe Flash', 'Facebook Marketing', 'Art Direction']"
101,$10k+,Brand and Marketing Strategist | Social Media Manager | Writer,728,17,$30.00,"['Marketing Strategy', 'Brand Management', 'Social Media Marketing', 'Blog Writing', 'Internet Marketing', 'Writing', 'Content Writing', 'WordPress', 'Copywriting', 'Social Media Management']"
102,$10k+,German native for translation work and customer service,"1,067",31,$17.00,"['Microsoft Excel', 'Microsoft Word', 'Microsoft PowerPoint', 'Translation German English', 'Translation English German', 'Administrative Support', 'Data Entry', 'Intuit QuickBooks', 'Accounts Payable Management', 'Customer Service']"
103,$100k+,Customer Service Retention Specialist and eCommerce Marketing,"5,239",10,$32.00,"['Customer Service', 'Email Handling', 'Order Processing', 'Virtual Assistant', 'Format & Layout', 'Social Media Management', 'Shopify', 'Content Creation', 'Literature Review', 'Managing Editor']"
104,$8k+,Graphic Design & Creative Direction | Brand Developer,317,9,$35.00,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Nuendo']"
105,$30k+,Award-Winning Magazine and Print Designer,385,40,$70.00,"['Graphic Design', 'Magazine Layout', 'Print Design', 'Print Layout Design', 'Brochure Design', 'Poster Design', 'Logo Design', 'Adobe InDesign', 'Adobe Photoshop', 'Adobe Illustrator']"
106,$100k+,Content Writer and Blogger,981,276,$35.00,"['English', 'English Grammar', 'Content Writing', 'Creative Writing', 'English Proofreading', 'Online Writing', 'Internet Marketing']"
107,$20k+,writer and editor,302,143,$35.00,"['Editing', 'Academic Writing', 'Proofreading', 'Chicago Manual of Style', 'Copyediting', 'Reviews', 'Content Writing', 'Essay Writing', 'Non-Fiction Writing']"
108,,Freelance Video Editor / Motion Graphic Artist,,,,"['Final Cut Pro', 'Adobe Premiere', 'Adobe After Effects', 'Adobe Premiere Pro', 'Adobe Photoshop', 'DaVinci Resolve', 'Adobe Encore']"
109,,Instructional Designer/Explainer Video/Presentation Designer/Animation,,,,"['Instructional Design', 'Whiteboard Animation', '2D Animation', 'Articulate Storyline', 'Camtasia', 'Adobe Captivate', 'GoAnimate', '3D Animation', 'VideoScribe', 'Reallusion CrazyTalk Animator']"
110,$10k+,Full Stack Web Developer,623,1,$20.00,"['Laravel Framework', 'HTML5', 'CSS3', 'JavaScript', 'WordPress', 'Bootstrap', 'jQuery', 'Translation Spanish English', 'Translation English Spanish', 'Technical Support']"
111,$9k+,"Social Media Marketing, Website Optimization, Content Creation",255,7,$55.00,"['YouTube Marketing', 'Facebook Marketing', 'Marketing Automation', 'Direct Marketing', 'Internet Marketing', 'Sales Management', 'Sales Operations', 'Copywriting', 'Digital Marketing Strategy', 'Sales Development']"
112,$70k+,Hubspot Certified Inbound Marketing Specialist,"1,105",15,$80.00,"['Inbound Marketing', 'HubSpot', 'Marketing Strategy', 'B2B Marketing', 'Internet Marketing', 'Social Media Marketing', 'Email Marketing', 'Project Management', 'Content Management System']"
113,$20k+,"Book Editor, Self-help Specialist and Ghostwriter",431,21,$42.50,"['Editing', 'Non-Fiction Writing', 'eBook Writing', 'Creative Writing', 'Copywriting', 'Fiction Writing', 'Book Writing', 'Ghostwriting']"
114,$9k+,Virtual Personal/Executive Assistant,275,8,$50.00,"['Market Research', 'WordPress', 'Social Media Marketing', 'Virtual Assistant', 'Administrative Support', 'Email Marketing', 'Content Management', 'Google Apps', 'Project Management']"
115,$30k+,Consultant Art Director,354,106,$39.00,"['Adobe InDesign', 'Adobe Photoshop', 'Adobe Illustrator', 'Microsoft Word', 'Microsoft Excel', 'Quark Xpress', 'Adobe Dreamweaver', 'Adobe Acrobat', 'Instagram Marketing', 'Facebook Marketing']"
116,$30k+,Public Relations/Writer / Social Media Strategist & Manager,406,20,$30.00,"['Social Media Marketing', 'Content Writing', 'Blog Writing', 'Entrepreneurship', 'Social Media Management', 'Public Relations', 'Virtual Assistant']"
117,$100k+,Admin,"9,683",4,$17.00,
118,$100k+,Sales Professional,"4,273",2,$30.00,"['Sales', 'Cold Calling', 'Outbound Sales', 'Telemarketing', 'Microsoft PowerPoint', 'Microsoft Office 365', 'Live Chat Software', 'Woocommerce', 'Customer Service', 'SaaS']"
119,$200k+,Beautiful writer with a CFA for financial analysis and reporting,"2,348",10,$150.00,"['Corporate Strategy', 'Business Planning', 'Financial Writing', 'Financial Analysis', 'Microsoft Excel PowerPivot', 'Microsoft Excel']"
120,$40k+,Research and Writing Pro,204,55,$50.00,"['Copywriting', 'Blog Writing', 'Article Writing', 'Legal Research', 'Research', 'SEO Writing', 'Newsletter Writing', 'Legal Writing', 'Writing', 'Content Writing']"
121,$40k+,English to French Translator - Native French,978,190,$22.00,"['Translation English French', 'Technical Translation', 'Translation', 'Proofreading', 'English Spelling']"
122,$30k+,Software Developer,429,28,$80.00,"['JavaScript', 'Node.js', 'HTML5', 'CSS3', 'MongoDB']"
123,$5k+,Food/Hospitality Virtual Executive Assistant + Social Media Manager,206,10,$25.00,"['Virtual Assistant', 'Blog Writing', 'Social Media Marketing', 'Social Media Management', 'Transcription', 'Intuit QuickBooks', 'Project Management', 'Travel Planning', 'Property Management', 'Copywriting']"
124,$50k+,Web & Mobile Application Developer,251,2,$125.00,"['Ruby', 'Ruby on Rails', 'Java', 'Scala', 'Amazon EC2', 'Capistrano', 'Chef']"
125,$4k+,Translator and Proofreader,265,17,$24.50,"['Business Management', 'English Grammar', 'Translation English German', 'Translation German English', 'Proofreading']"
126,$10k+,"Online Marketing, Social Media Management, E-commerce, SEO, & Writing",210,15,$25.00,"['Writing', 'Article Writing', 'Shopify', 'Reviews', 'Customer Support', 'Email Handling', 'Chat Support', 'Social Media Management', 'Search Engine Optimization (SEO)', 'Internet Marketing']"
127,$10k+,Mechanical Design Engineer-in-Training | CAD Drafter,430,32,$30.00,"['Mechanical Design', 'AutoCAD', 'SketchUp', 'Market Research', 'Microsoft Excel', '3D Modeling', 'Home Design', 'Product Design', 'Autodesk Inventor', 'Audio Editing']"
128,$10k+,Technical Architect/Developer,531,20,$30.00,"['Java', 'API Development', 'DevOps', 'System Administration', '.NET Framework', 'VBA', 'VB.NET', 'C#']"
129,$10k+,Data Scientist,347,1,$50.00,"['Microsoft Excel PowerPivot', 'Microsoft Office', 'Microsoft Excel', 'SAS', 'Microsoft Power BI', 'Microsoft PowerPoint', 'Report Writing', 'English Proofreading', 'Story Editing']"
130,$100k+,Home Services & Lifestyle Digital Marketing Professional,"8,218",61,$45.00,"['Social Media Marketing', 'Blog Writing', 'Brand Consulting', 'Media Relations', 'Public Relations']"
