,earned,headline,hours,jobs,rate,skills
18,$8k+,Expert Full-Service Digital Marketing Manager with 8 Years Experience,328,28,$40.00,"['Pay Per Click Advertising', 'Drupal', 'Content Management', 'Social Media Marketing', 'WordPress', 'Google Analytics', 'Display Ads', 'Facebook Marketing', 'Marketing Strategy', 'Search Engine Optimization (SEO)']"
19,$100k+,"Full stack web developer: PHP, MySQL, MVC/CodeIgniter, jQuery","5,802",23,$30.00,"['HTML', 'PHP', 'CSS', 'JavaScript', 'jQuery', 'AJAX', 'Git', 'CodeIgniter', 'Adobe Photoshop']"
20,$60k+,Business IT Support - Help Desk Services - IT Managed Services,"3,297",18,$27.00,"['Helpdesk', 'Network Administration', 'Network Security', 'Customer Service', 'Technical Support', 'Microsoft Windows Server', 'Cloud Computing', 'Antispam and Antivirus', 'VOIP Administration', 'Microsoft Office 365']"
21,$60k+,"Award-Winning Writer, Transcriptionist, Administrative Assistant","3,643",25,$17.00,"['Microsoft Excel', 'Creative Writing', 'Content Writing', 'Editorial Writing', 'Article Writing', 'Customer Service', 'Customer Support', 'Transcription']"
22,$30k+,Illustrator and Diverse Writer,236,115,$50.00,"['Creative Writing', 'SEO Writing', 'Ghostwriting', 'Article Writing', 'Blog Writing', 'RPG Writing', 'Editing', 'Illustration', 'Adobe Illustrator', '2D Animation']"
23,$20k+,"Senior Web Developer, PHP | Javascript | Cryptocurrency Guru",271,20,$50.00,"['PHP', 'JavaScript', 'React.js', 'AngularJS', 'Node.js', 'HTML5', 'MVC Framework', 'Blockchain Development', 'Database Programming', 'Vue.js']"
24,$90k+,Customer Service & Tech. Support,"7,989",27,$16.00,"['Customer Service', 'Helpdesk', 'CRM', 'Basecamp', 'Ad Posting', 'Clerical Skills', 'Customer Support', 'Google Calendar Development', 'Administrative Support', 'Transcription']"
25,$100k+,Seasoned Executive Virtual Assistant,"9,425",84,$25.00,"['Calendar Management', 'Email Handling', 'Recruiting', 'Travel Planning', 'Receptionist Skills', 'Call Handling', 'Human Resource Management', 'Organizational Behavior', 'Customer Retention', 'Project Planning']"
26,,Freelance Writer,,,,"['Public Relations', 'Creative Writing', 'Microsoft Word']"
27,,"Writer: articles, corporate storytelling, editing",,,,"['Article Writing', 'Copywriting', 'Copyediting', 'Blog Writing', 'Internet Research', 'Proofreading', 'eBook Writing']"
28,$10k+,Graphic Designer,854,60,$25.00,"['Graphic Design', 'Logo Design', 'Print Layout Design', 'Print Design', 'Brochure Design', 'Adobe InDesign', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe Acrobat', 'Microsoft Publisher']"
29,$40k+,Access Database Developer,"1,752",65,$30.00,"['Microsoft Access Administration', 'SQL', 'VBA', 'Database Programming', 'Database Design', 'Relational Databases', 'Database Modeling']"
30,$800+,"photographer,photo editor,graphic/creative designer,data entry operato",402,7,$3.33,"['Microsoft Word', 'Photo Editing', 'Adobe Photoshop', 'Photograph Color Correction', 'Photography', 'Photo Manipulation']"
31,$8k+,,204,20,$35.00,"['Content Writing', 'Marketing Strategy', 'Public Relations', 'Project Management', 'Strategic Planning', 'Article Writing', 'Adobe InDesign', 'Business Writing', 'Content Marketing', 'Organizational Behavior']"
32,,"Wordpress CSS, CSS3 Developer & Responsive Web Design Expert",,,,"['WordPress', 'CSS', 'CSS3', 'Responsive Web Design', 'PSD to Wordpress', 'Web Design', 'User Experience Design', 'User Interface Design']"
33,$90k+,Analyst,"7,496",4,$32.00,"['Counseling Psychology', 'Time Management', 'Technical Writing', 'Technical Editing', 'Public Speaking', 'Creative Writing']"
34,$20k+,"Project and Operations Manager, HR, Business Strategy Consultant","1,837",9,$40.00,"['Project Management', 'Startup Consulting', 'Human Resource Management', 'Business Process Modeling', 'Strategic Planning', 'Customer Support', 'Workforce Management', 'Business IT Alignment', 'Online Community Management']"
35,,Voice Over with Personality,,,,"['Voice Over', 'Voice Talent', 'Adobe Audition', 'Video Editing', 'Adobe Premiere', 'Adobe After Effects', 'Final Cut Pro', 'Audacity', 'Soundtrack Pro', 'Narration']"
36,$10k+,Filemaker Pro and FM Go Developer,396,79,$65.00,['FileMaker']
37,$40k+,Data Analyst and Spreadsheet Designer,"2,353",234,$21.50,"['Microsoft Excel', 'Microsoft PowerPoint']"
38,$20k+,Writer/Author,456,26,$30.00,['Creative Writing']
39,$20k+,"Virtual Assistant for Planning, Research, Organization and Everything","1,749",80,$17.40,"['Virtual Assistant', 'English Proofreading', 'Personal Development', 'Internet Research', 'Writing', 'English Grammar', 'Travel Planning', 'Proofreading', 'Teaching English', 'Online Community Management']"
40,$100k+,| Top Rated | 2D / 3D Game Artist,"5,062",38,$22.50,"['3D Modeling', 'Game Design', 'Adobe Photoshop', '2D Design', 'Unity', 'Pixologic Zbrush', 'Autodesk Maya', '3D Design', '3D Animation', '3D Rigging']"
41,$30k+,"Freelance writer, editor, and publisher",268,223,$25.00,"['Print Design', 'eBook Design', 'Format & Layout', 'Proofreading', 'Editing', 'Publishing Fundamentals', 'Microsoft Word', 'OpenOffice', 'Typesetting', 'Print Layout Design']"
42,$100k+,Verification Specialist,"9,020",2,$13.33,"['Translation Spanish English', 'Microsoft PowerPoint', 'Customer Service', 'Customer Support']"
43,$300k+,Professional Excel VBA Developer,"13,448",36,$27.78,"['VBA', 'Microsoft Excel', 'PDF Conversion', 'Microsoft Word', 'Spreadsheets', 'Data Scraping', 'Data Analytics', 'Visual Basic', 'Yahoo! Store']"
44,$8k+,CAD/Revit/Sketchup Designer,307,22,$25.00,"['SketchUp', 'AutoCAD', 'Autodesk Revit', 'Autodesk 3D Studio Max']"
45,$100k+,Online Marketing Strategy Consultant | SEO Strategist,"3,544",76,$75.00,"['Search Engine Optimization (SEO)', 'Internet Marketing', 'Social Media Marketing', 'Google Analytics', 'WordPress', 'SEO Keyword Research', 'SEO Audit', 'Shopify', 'Yoast SEO']"
46,$100k+,customer service - verification,"9,468",3,$13.33,
47,$70k+,Admin Asst + Data Entry Specialist (Bookkeeping-QBO Certified),"4,485",133,$25.00,"['Microsoft Word', 'English Proofreading', 'Data Entry', 'Bookkeeping', 'PDF Conversion', 'Microsoft Office', 'Google Docs', 'Email Handling']"
48,$90k+,Consultant,"6,112",9,$20.00,"['Customer Service', 'Zendesk', 'Chat Support', 'Phone Support', 'Technical Support', 'Microsoft Office', 'Software Testing', 'Technical Writing', 'Sales', 'Virtual Machine']"
49,$20k+,Software Engineer,687,22,$33.33,"['ASP', 'ColdFusion', 'HTML5', 'PHP', 'Node.js', 'AngularJS', 'Backbone.js', 'JavaScript', 'jQuery', 'JSON']"
50,$20k+,"Voice Artist, Writer and Humorist",245,143,$55.56,"['Voice Over', 'Voice Talent', 'Creative Writing', 'Video Production', 'Comedy Writing', 'Sound Editing']"
51,$30k+,Developer with 10 Years of iOS Experience,998,16,$65.00,"['Objective-C', 'Swift', 'iPhone App Development', 'iPad App Development', 'iOS Development']"
52,$60k+,Professional English/Chinese Translator/Proofreader/PM,"2,542",277,$33.00,"['Translation English Mandarin', 'Translation English Chinese', 'Project Management', 'Simplified Chinese', 'Mandarin', 'Proofreading', 'SDL Trados', 'Medical Translation', 'Technical Translation', 'Legal Translation']"
53,$40k+,Expert Translator-English to Japanese,605,190,$20.00,"['Translation English Japanese', 'Translation Japanese English', 'Microsoft Access Programming']"
54,$30k+,"Content Strategy, Email Marketing, Copywriting.",554,17,$75.00,"['Email Marketing', 'Marketing Strategy', 'Content Strategy', 'Marketo', 'Copywriting', 'Landing Pages', 'Website Analytics', 'Media Relations', 'Salesforce.com', 'Writing']"
55,$30k+,Personal Statement|Academic Writing|Curriculum Development Expert,229,83,$50.00,"['Editing', 'Research Papers', 'Editorial Writing', 'Academic Writing', 'Proofreading', 'Cover Letter Writing', 'Resume Writing', 'Microsoft PowerPoint', 'Copyediting', 'Copywriting']"
56,$8k+,"WordPress & Web Developer - Custom Websites, Built the Right Way",240,28,$42.50,"['WordPress', 'HTML5', 'CSS3', 'JavaScript', 'PHP', 'Bootstrap', 'Website Development', 'Blog Writing', 'Curriculum Development', 'Shopify']"
57,$30k+,Engaging Creative Writer With Great Perspective,367,137,$45.00,"['Creative Writing', 'Poetry', 'Content Writing', 'Blog Writing', 'Article Writing', 'Article Spinning', 'Article Rewriting', 'eBooks', 'eBook Writing', 'Recipe Writing']"
58,$30k+,Freelance Writer,"2,560",4,$15.00,"['WordPress', 'Google Docs', 'Google Apps', 'Content Writing', 'Content Creation', 'Content Moderation', 'Content Management']"
59,$90k+,Computer Vision / Web / Mobile Developer,"2,091",12,$83.33,"['OpenCV', 'Image Processing', 'Google Cloud Platform', 'AWS Lambda', 'Android SDK', 'TensorFlow', 'Machine Learning', '.NET Framework', 'Java', 'Kotlin']"
60,$100k+,Freelance Writer/Content Writer/SEO Writer/Blogger,"3,625",517,$50.00,"['Blog Writing', 'Article Writing', 'Content Writing', 'Press Release Writing']"
61,$10k+,Content and Creative Manager,,,$12.75,
62,$30k+,Smart. Creative. Content.,970,50,$38.00,"['Copywriting', 'Article Writing', 'Blog Writing', 'SEO Writing', 'Research', 'Scientific Writing', 'Sales Writing', 'Editorial Writing', 'Creative Writing', 'Sales Letters']"
63,$20k+,Joomla and Wordpress Expert,"1,044",53,$35.00,"['Joomla', 'JavaScript', 'HTML', 'PHP', 'CSS', 'PrestaShop', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign']"
64,$200k+,Project / Operations Manager,"4,381",26,$85.00,"['Project Management', 'Product Management', 'Agile Software Development', 'Operations Management', 'Recruiting', 'Accounts Payable Management', 'Budgeting & Forecasting', 'Atlassian JIRA', 'Team Building', 'Leadership Development']"
65,$9k+,Writer | Editor | Transcriptionist | Admin | Biller | Scheduler,450,13,$12.00,"['Creative Writing', 'Legal Writing', 'English Proofreading', 'English Grammar', 'English Spelling', 'Slang-style Writing', 'Editing', 'Transcription']"
66,$10k+,Business Service Professional .. Sales and Customer Service Rock Star,634,22,$24.38,"['General Office Skills', 'Sales', 'Content Writing', 'Telemarketing', 'Customer Service', 'Customer Retention', 'Customer Support']"
67,,2D Animator,,,,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Adobe Flash', 'Adobe Dreamweaver', 'Adobe Acrobat', 'Adobe After Effects', 'Adobe Creative Suite']"
68,$4k+,"Writer, Editor, Proofreader, Data Entry Assistant, Virtual Assistant",811,13,$10.00,"['English', 'Article Writing', 'Writing', 'Virtual Assistant', 'Data Entry', 'Chat Support', 'Customer Service', 'Customer Support', 'Email Handling', 'Email Marketing']"
69,$20k+,Graphic Design Mastermind,"1,065",53,$35.00,"['Graphic Design', 'Print Design', 'Advertising', 'Magazine Layout', 'Logo Design', 'Book Cover Design', 'Web Design']"
70,$20k+,"It isn't just copywriting, it's establishing your success.",280,127,$75.00,"['Article Writing', 'Creative Writing', 'Blog Writing']"
71,$200k+,Data Entry and Web Research,"42,415",153,$8.25,"['Data Entry', 'Internet Research']"
72,$90k+,Translator/Proofreader,"1,407",69,$25.00,"['Translation', 'Spanish', 'Proofreading', 'Data Entry']"
73,$20k+,Administrative Assistant,"1,940",7,$18.00,"['Payroll Processing', 'Accounts Payable Management', 'Accounts Receivable Management']"
74,$80k+,"Web Developer, Italian Translator","5,863",69,$17.00,"['Drupal', 'WordPress', 'PHP', 'CSS', 'Linux System Administration', 'MySQL Administration', 'Translation Italian English', 'Translation English Italian', 'Translation', 'Italian']"
75,$500k+,FileMaker Developer for the Mac and PC,"15,584",94,$50.00,"['FileMaker', 'Delphi', 'SQL', 'Database Programming', 'Database Management']"
76,$10k+,Abby Garrison,"1,794",1,$11.11,['Customer Service']
77,$70k+,Freelance Editor and Writer,"2,498",20,$50.00,"['Copyediting', 'Editing', 'Content Writing', 'Business Writing', 'Copywriting', 'Report Writing', 'Article Writing', 'Technical Writing', 'Desktop Publishing', 'Proofreading']"
78,$60k+,Writer and Wordsmith,"2,481",156,$19.38,"['Article Writing', 'Editing', 'Blog Writing', 'Public Relations', 'Editorial Writing', 'Technical Writing']"
79,$40k+,Proofreader/Editor,"3,594",83,$20.00,"['Proofreading', 'Editing', 'Resume Writing', 'Business Writing', 'Fiction Writing', 'Non-Fiction Writing', 'Technical Editing', 'Book Writing', 'Content Writing', 'Academic Writing']"
80,$70k+,Writer/Researcher,"4,935",57,$15.00,"['Creative Writing', 'Article Writing', 'Internet Research']"
81,$70k+,Writer/Editer/Proofreader,"4,582",28,$20.00,"['Article Writing', 'Internet Research', 'Proofreading', 'Microsoft Word', 'Microsoft Excel', 'Transcription', 'Photography', 'Presentations', 'Employee Training', ""User's Guide Writing""]"
82,$20k+,Project Manager / Product Manager / Shopify Expert,452,27,$120.00,"['Ecommerce Platform Development', 'Project Management', 'Project Management Professional', 'Shopify', 'Graphic Design', 'Mobile UI Design', 'Product Management', 'WordPress', 'API Development', 'Shopify Templates']"
83,$70k+,writer and researcher,"3,026",73,$23.00,"['Academic Writing', 'Qualitative Research', 'Technical Writing', 'Article Writing', 'Transcription', 'Translation Spanish English', 'Research Papers']"
84,,"Proven results from a reliable expert in video, images and audio.",,,,"['Motion Graphics', 'Video Editing', 'Video Production', 'Audio Production', 'Voice Over', 'Photography', 'Music Producing', 'Adobe Premiere Pro', 'Adobe After Effects', 'Storyboarding']"
85,$20k+,"Accurate, Quality, Experienced Audio Transcriber Specialist","1,634",156,$20.00,"['Transcription', 'Express Scribe', 'Microsoft Word', 'Google Docs', 'Proofreading', 'OpenOffice', 'Word Processing', 'Internet Research']"
86,$100k+,Full Stack Web Developer with 16+ Years Experience,"1,916",29,$125.00,"['HTML', 'PHP', 'MySQL Administration', 'WordPress', 'jQuery', 'CSS', 'JavaScript', 'Google Analytics', 'OpenCart', 'Google Tag Manager']"
87,$20k+,Mobile App Development/iOS/Android/Web Development & Apps,886,18,$150.00,"['Mobile App Development', 'iOS Development', 'Android App Development', 'Objective-C', 'Java', 'Unity', 'Game Development', 'Android', 'Swift']"
88,$100k+,"Human Resource, management and data entry specialist","12,667",19,$16.00,"['Customer Service', 'Accounting', 'Data Entry', 'Human Resource Management', 'Order Entry', 'Email Technical Support', 'Internet Research', 'Chat Support', 'Social Media Marketing', 'Management Skills']"
89,$100k+,Graphic Design/Websites/Photography,"3,010",7,$22.22,"['Adobe Photoshop', 'Adobe Illustrator']"
90,$40k+,Podcast Editor/Audio Engineer,"1,855",80,$20.00,"['Audio Editing', 'Audio Post Production', 'Audio Production', 'Audio Mixing', 'Adobe Audition']"
91,$7k+,"Expert Blog and Article Writer, Marketer, and Outreach Manager",602,17,$40.00,"['Editing', 'Blog Writing', 'Article Writing', 'SEO Writing', 'Copywriting', 'Social Network Administration', 'Internet Research', 'HTML', 'CSS', 'Virtual Assistant']"
92,$10k+,"Transcriptionist, Word Processor, Proofreader","1,135",90,$5.00,"['Transcription', 'Word Processing', 'Proofreading']"
93,$30k+,Expert in QA/Automation/Web Testing/Mobile Testing/iPhone/Android,"1,882",3,$20.00,"['Selenium WebDriver', 'Test Automation', 'Functional Testing', 'HP QuickTest Professional (HPQTP)', 'HP Quality Center', 'ClearQuest', 'Atlassian JIRA', 'Bugzilla', 'Usability Testing', 'SQL']"
94,$50k+,Health and Wellness Expert 5 Star,"4,446",24,$25.00,"['Data Entry', 'Administrative Support', 'Virtual Assistant', 'Customer Support', 'Research', 'Physical Fitness', 'Medical Informatics', 'Medical Writing', 'EHealth', 'Nutrition']"
95,$20k+,"Academic and business editor, proofreader, and writer",981,121,$34.00,"['Proofreading', 'Copyediting', 'Research Papers', 'Blog Writing']"
96,$20k+,Web and Graphic Designer,556,157,$35.99,"['WiX', 'Adobe Photoshop', 'Web Design', 'Search Engine Optimization (SEO)', 'Graphic Design', 'Logo Design', 'Business Card Design', 'Photo Editing', 'Adobe Photoshop Lightroom', 'Brochure Design']"
97,$20k+,Photo Retoucher,634,28,$30.00,"['Photo Retouching', 'Adobe Photoshop', 'Photo Manipulation', 'Photograph Color Correction', 'Portrait Photography', 'Digital Illustration', 'Digital Art', 'Adobe Photoshop Lightroom', 'Image Editing', 'Photo Editing']"
98,$40k+,Angular | Node | Java | Ionic | Full Stack Developer,"1,159",11,$50.00,"['Java', 'AngularJS', 'Node.js', 'Ionic Framework', 'Chrome Extension', 'DevOps', 'Amazon Web Services', 'Mobile App Development', 'Web Services Development', 'Spring Framework']"
99,$20k+,"eBook Formatting, Conversion, and Editing",472,152,$16.25,"['eBook Design', 'Print Layout Design', 'eBooks', 'mobi', 'ePub', 'Proofreading', 'Adobe InDesign', 'HTML', 'CSS', 'CreateSpace']"
100,$5k+,Shane Simmons,470,8,$16.67,"['Adobe Photoshop', 'Photograph Color Correction', 'Photo Editing', 'Photo Manipulation', 'Python', 'Ruby']"
101,$100k+,Microsoft Certified Solutions Associate : Web Applications,"3,329",36,$50.00,"['ASP.NET', 'C#', 'Microsoft SQL Server Programming', 'ASP.NET MVC', 'jQuery', 'Bootstrap', 'CSS3', 'Kendo UI', 'Microsoft Entity Framework', 'Application Programming']"
102,$200k+,Experienced Writer and Editor,"9,557",776,$27.78,"['Copywriting', 'Blog Writing', 'Copyediting', 'Article Writing', 'Data Entry', 'Customer Service', 'Microsoft Word', 'Internet Research', 'Microsoft Excel']"
103,$20k+,Proofreader/Editor,"2,113",31,$20.00,"['Proofreading', 'Copyediting', 'Editing', 'Document Review']"
104,$5k+,"Albanian/English Translator,Data Entry,Admin Assistant,Creative Writer",223,49,$5.99,"['Translation English Albanian', 'Translation Albanian English', 'Translation', 'Proofreading', 'Administrative Support', 'Data Entry', 'Microsoft Excel', 'Microsoft Word', 'Creative Writing', 'Data Encoding']"
105,$10k+,Experienced Content Writer/Technical Writer/Researcher,"1,483",18,$10.00,"['Project Management', 'Technical Writing', 'Product Descriptions', 'Blog Writing', 'Research', 'Virtual Assistant', 'Travel Writing']"
106,$4k+,"Accounting professional, CPA, CMA",263,8,$30.00,"['Microsoft Word', 'Microsoft Excel', 'Microsoft PowerPoint', 'Accounting', 'Intuit QuickBooks', 'SAP ERP HCM', 'Oracle Database', 'Microsoft Dynamics GP', 'Xero']"
107,$10k+,"Recipe Developer, Writer, Food Photographer",438,31,$48.00,"['Writing', 'Photography', 'Nutrition', 'Research', 'Recipe Writing', 'Data Entry', 'Content Development', 'Customer Service', 'Blog Writing', 'Customer Retention']"
108,$20k+,"Owner, OUTLAW Marketing",492,178,$23.50,"['Marketing Strategy', 'Internet Research', 'Internet Marketing', 'Facebook Marketing', 'Social Media Marketing', 'WordPress', 'Search Engine Optimization (SEO)', 'Search Engine Marketing (SEM)', 'Microsoft Word', 'Presentations']"
109,$10k+,Web & Graphic Designer,297,95,$18.00,"['Logo Design', 'Web Design', 'Graphic Design', 'Print Design', 'WordPress', 'PSD to HTML', 'Label and Package Design', 'Corporate Brand Identity', 'Email Marketing', 'Landing Pages']"
110,$20k+,"Expert Copywriter: Case Studies, Blogs, Articles, Web & Marketing Copy",345,20,$60.00,"['Copywriting', 'Content Marketing', 'B2B Marketing', 'Marketing Strategy', 'Sales Writing', 'SEO Writing', 'Business Writing', 'White Paper Writing', 'Content Development', 'Blog Writing']"
111,$50k+,Writer and Editor,"2,559",68,$18.33,"['Editing', 'Copywriting', 'Research Papers', 'Content Writing', 'Article Writing', 'Project Management', 'WordPress', 'Article Curation', 'SEO Keyword Research']"
112,$40k+,Data Analyst,781,45,$65.00,"['Microsoft Excel', 'VBA', 'Database Design', 'Data Analytics', 'Financial Forecasting', 'Microsoft Access Administration', 'Microsoft PowerPoint', 'Web Scraping']"
113,$10k+,Product Copywriter & Editor,530,62,$62.50,"['Writing', 'Editing', 'SEO Writing', 'Copywriting', 'Copyediting', 'Content Writing', 'Article Writing', 'Blog Writing', 'Email Copywriting', 'Product Descriptions']"
114,,Building Your Brand Smarter - Graphic and Web Design Specialist,,,,"['Customer Service', 'Adobe Photoshop', 'HTML', 'CSS', 'Adobe Creative Suite', 'Adobe Dreamweaver', 'Joomla', 'Adobe InDesign', 'Adobe Illustrator', 'WordPress']"
115,$5k+,English-German Translator,398,17,$19.00,"['Translation English German', 'English Tutoring', 'Translation German English', 'Proofreading', 'Virtual Assistant', 'German']"
116,$100k+,Business and Communications Assistant,"5,107",156,$25.00,"['Business Planning', 'Business Development']"
117,$100k+,SEO / SEM / SMM/ Web Content / Ghostwriting / Web Design,"8,663",37,$37.00,"['Social Media Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Content Management', 'SEO Keyword Research', 'Google AdWords', 'Google Analytics', 'Article Writing', 'Blog Writing']"
118,$10k+,Data Entry Specialist,527,16,$31.25,"['Microsoft Word', 'Microsoft Outlook Development', 'Microsoft PowerPoint', 'Data Entry', 'Audio Mixing', 'Audio Editing', 'Graphic Design', 'Customer Service']"
119,$10k+,Brand + Marketing Strategist,547,55,$45.00,"['Website Development', 'Brand Management', 'Email Marketing', 'Social Media Marketing', 'Ecommerce Platform Development', 'Graphic Design', 'Presentation Design', 'WordPress', 'SquareSpace', 'Packaging Design']"
120,$20k+,Sr. PCB Layout Engineer,584,1,$85.00,"['PCB Design', 'Altium Designer', 'Field-Programmable Gate Array (FPGA)', 'Digital Electronics', 'Electronic Design', 'Circuit Design', 'Digital Signal Processing', 'Robotics', 'Mechatronics', 'GTK+']"
121,$70k+,,"8,316",30,$16.00,"['Accounts Payable Management', 'Financial Accounting', 'Accounts Receivable Management', 'Intuit QuickBooks', 'Payroll Processing', 'Microsoft Dynamics GP', 'Customer Support', 'Call Handling', 'Tax Preparation', 'NetSuite Administration']"
122,$10k+,Highly-skilled multipurpose artist with technological background,271,34,$60.00,"['Illustration', 'Sculpture', 'Logo Design', 'Graphic Design', 'Comic Art', 'Video Streaming', '2D Animation', 'User Interface Design', 'Web Design', 'Game Design']"
123,$100k+,Paid Search Expert,"6,074",62,$22.22,"['Microsoft Excel', 'Google Analytics', 'Google AdWords', 'Facebook Marketing']"
124,$100k+,Motion Graphics Designer,"2,431",36,$93.75,"['Motion Graphics', 'Animation', 'Storyboarding', '3D Animation', '2D Animation']"
125,$10k+,Administrator & Real Estate Professional,670,26,$25.00,"['Virtual Assistant', 'Executive Assistant', 'Administrative Support', 'Project Management', 'Real Estate Management', 'Internet Research', 'Document Review', 'Proofreading', 'Google Docs', 'Email Handling']"
126,$70k+,PHP - Developer,"2,572",31,$33.33,"['PHP', 'MySQL Administration', 'WordPress', 'Yii']"
127,$50k+,,"1,768",5,$33.00,
128,$50k+,Internet Researcher and Child Care Provider looking for something new!,"5,088",29,$11.00,"['Internet Research', 'Data Entry', 'Virtual Assistant', 'Customer Support']"
129,$8k+,,416,4,$20.00,['C#']
130,$90k+,"Visually Compelling, Engaging and Innovative Presentations + Design",732,99,$98.00,"['Presentation Design', 'Microsoft PowerPoint', 'Adobe Creative Suite', 'Corporate Brand Identity', 'User Experience Design', 'Adobe Illustrator', 'Keynote', 'Print Design', 'Adobe InDesign', 'Adobe Photoshop']"
131,$30k+,IT Help Desk | Tech Support | Writer / Editor,"1,824",14,$45.00,"['Customer Service', 'Technical Support', 'SaaS', 'Call Center Management', 'Customer Support', 'Email Handling', 'Social Media Optimization (SMO)', 'Chat Support', 'Management Skills', 'Internet Research']"
132,$30k+,WordPress Designer/Developer - Project Manager - Marketing Manager,242,32,$75.00,"['WordPress', 'Project Management', 'Adobe Photoshop', 'Video Editing', 'Adobe Illustrator', 'Service Level Management', 'Customer Service', 'Woocommerce', 'CakePHP', 'Responsive Web Design']"
133,$90k+,Electronics Hardware and Product Development Specialist,715,61,$160.00,"['Electronics', 'PCB Design', 'Altium Designer', 'Hardware Prototyping', 'Embedded Systems', 'Embedded C', 'Mechanical Design', 'Digital Electronics', 'Product Development', 'Engineering Design']"
134,$50k+,Copywriter and Creative Marketing Consultant,395,204,$75.00,"['Blog Writing', 'Copywriting', 'Copyediting', 'Content Writing', 'Article Writing']"
