,earned,headline,hours,jobs,rate,skills
22,$40k+,Proofreader/Editor,"3,591",83,$20.00,"['Proofreading', 'Editing', 'Resume Writing', 'Business Writing', 'Fiction Writing', 'Non-Fiction Writing', 'Technical Editing', 'Book Writing', 'Content Writing', 'Academic Writing']"
23,$70k+,Writer/Researcher,"4,930",57,$15.00,"['Creative Writing', 'Article Writing', 'Internet Research']"
24,$20k+,Professional LAMP Programmer / Web Designer with 23+ Yrs Exp,241,33,$45.00,"['PHP', 'HTML', 'CSS', 'MySQL Administration', 'Perl']"
25,$10k+,Expert technical support with customer service background,"1,319",16,$20.00,"['Customer Service', 'Windows XP Administration', 'Google Docs', 'Comptuer Maintenance', 'eBay Listing/Writing', 'Amazon Webstore', 'Wireless Security']"
26,NA,Animator/ Illustrator,NA,NA,NA,"['Animation', 'Whiteboard Animation']"
27,$100k+,Excel/Access VBA and Macro Developer,"2,512",105,$95.00,"['VBA', 'Microsoft Excel', 'Microsoft Access Administration', 'Visual Basic']"
28,$100k+,"Copywriting, SEO Optimization and Inbound Content Marketing Expert",555,302,$45.00,"['Writing', 'Linguistics', 'Blog Writing', 'Public Relations', 'Marketing Strategy', 'Article Writing', 'Editing', 'Business Writing', 'SEO Writing', 'SEO Keyword Research']"
29,$50k+,"Sr. SQL Server DBA/Developer, Business Intelligence(SSRS,SSIS, SSAS)","1,339",75,$55.00,"['Cluster Computing', 'Disaster Recovery', 'Database Modeling', 'Microsoft SQL SSRS', 'Microsoft SQL CE', 'Performance Tuning', 'Microsoft SQL Server Service Broker', 'IBM DB2 Administration', 'Microsoft SQL SSAS', 'PostgreSQL Administration']"
30,$40k+,"Brand Growth Specialist YouTube Optimization, Video SEO & Social Media","2,814",24,$18.00,"['Accounting', 'Financial Management', 'Microsoft Excel', 'Intuit QuickBooks', 'Customer Support', 'Customer Service', 'Virtual Assistant', 'Technical Support', 'MailChimp', 'WordPress']"
31,$10k+,Social Media & Marketing Expert,655,7,$38.00,"['Adobe Creative Suite', 'Social Media Management', 'Social Media Optimization (SMO)', 'Copywriting', 'Market Research', 'Graphic Design', 'Marketing Strategy', 'Adobe Photoshop', 'Adobe Photoshop Lightroom', 'Content Management']"
32,NA,NA,NA,NA,NA,"['Content Marketing', 'Inbound Marketing', 'SEO Writing', 'Blog Writing', 'Content Writing', 'Adobe Creative Suite', 'Social Media Marketing', 'Graphic Design', 'HubSpot', 'MailChimp']"
33,$10k+,Full stack Node|Express|Hapijs|Meteor|Angular|Angular 4-6|EJS|Mongodb,879,21,$10.00,"['PHP', 'CodeIgniter', 'WordPress', 'PSD to Wordpress', 'Magento', 'PSD to HTML', 'CSS3', 'PSD to XHTML', 'HTML5', 'Moodle']"
34,$60k+,Customer Service Rep,"6,332",6,$12.00,"['Customer Support', 'Customer Service', 'Phone Support', 'Data Entry', 'Transcription']"
35,$90k+,NA,"5,475",4,$16.67,[]
36,$8k+,"Motion Graphics, Photo Editing, Video Editing, and Audio Production",230,18,$40.00,"['Audio Editing', 'Photo Editing', 'Video Editing', 'Audio Production', 'Ableton Live', 'Avid Pro Tools', 'Adobe Photoshop', 'Adobe Photoshop Lightroom', 'Adobe Premiere Pro', 'Final Cut Pro X']"
37,$40k+,"Social Media Daredevil, I get you engaged followers for your business.","2,291",67,$15.00,"['Social Media Marketing', 'Twitter Marketing', 'YouTube Marketing', 'Email Marketing', 'Content Marketing', 'ActiveCampaign', 'MailChimp', 'Facebook Marketing', 'Instagram Marketing', 'Pay Per Click Advertising']"
38,$20k+,Java Engineer,"1,770",10,$45.00,"['Java', 'Spring Framework', 'Hibernate', 'Apache Maven', 'Selenium WebDriver', 'Jenkins', 'Git', 'SQL', 'CSS3', 'JavaScript']"
39,$4k+,Proofreader/editor/writer extraordinaire,464,2,$15.56,"['Adobe Flash', 'Typing', 'Proofreading', 'Editing', 'Copyediting', 'Microsoft Word', 'Computer Skills', 'Email Handling', 'Firefox Plugin Development']"
40,$50k+,"SharePoint, O365 Migration, Intranet, Nintex Workflows Consultant",763,70,$75.00,"['Microsoft SharePoint Development', 'Microsoft SharePoint Administration', 'Active Directory', 'Microsoft SharePoint Designer']"
41,$40k+,Full Stack Azure Asp.Net MVC C# Web Developer,"2,070",25,$50.00,"['ASP.NET MVC', 'C#', 'Microsoft Windows Azure', 'SQL', 'JavaScript', 'Microsoft Visual Studio', 'HTML', 'CSS', 'ASP.NET', 'jQuery']"
42,$30k+,PHP/html Coder,"1,277",100,$60.00,"['Adobe Dreamweaver', 'WordPress', 'Proofreading', 'PSD to HTML', 'Adobe Photoshop', 'English Proofreading', 'CSS', 'X-Cart', 'Drupal']"
43,$80k+,NetSuite Consultant and Solution Developer,869,64,$125.00,"['NetSuite Development', 'NetSuite Administration', 'Enterprise Resource Planning (ERP)', 'CRM', 'Business Analysis', 'HTML', 'JavaScript', 'Ecommerce Platform Development', 'Network Administration', 'SuiteScript']"
44,$40k+,Professional artist and graphic designer,"2,552",101,$22.00,"['CorelDRAW', 'Adobe Photoshop', 'Illustration', 'Editing', 'Web Design', 'Print Layout Design', 'User Interface Design', 'Character Design', 'Digital Painting', 'Game Design']"
45,NA,"CRO expert, Klaviyo email, FB messenger, SMS Text remarketing",NA,NA,NA,"['Usability Testing', 'User Experience Design', 'Brand Consulting', 'Klaviyo', 'Email Marketing', 'Shopify', 'Conversion Rate Optimization', 'Content Strategy', 'Ecommerce Platform Development']"
46,$10k+,Data Scientist,347,1,$50.00,"['Microsoft Excel PowerPivot', 'Microsoft Office', 'Microsoft Excel', 'SAS', 'Microsoft Power BI', 'Microsoft PowerPoint', 'Report Writing', 'English Proofreading', 'Story Editing']"
47,$40k+,Microsoft Excel/Access/VBA Expert,"1,428",91,$36.00,"['Microsoft Access Administration', 'Microsoft Excel', 'VBA', 'SQL', 'Computer-Aided Design', 'SolidWorks', 'Autodesk Inventor', 'Minitab', 'Microsoft Word']"
48,$20k+,Legal Knowledge Engineer and Document Automation Specialist,299,18,$120.00,"['Legal Consulting', 'IT Strategy', 'Management Consulting', 'Information Management', 'Project Management', 'Automation', 'Document Conversion', 'Themis Solutions Clio', 'Legal Writing', 'Excel VBA']"
49,$30k+,"B2B Sales Growth, Marketing and Podcasts",216,38,$62.00,"['Project Management', 'Marketing Strategy', 'Copyediting', 'Sales Management', 'Lead Generation', 'Sales Operations']"
50,$100k+,Marketing Consultant,"4,538",66,$45.00,"['Business Planning', 'Marketing Strategy', 'Marketing Automation', 'Copywriting', 'Project Management', 'InfusionSoft Marketing', 'B2B Marketing']"
51,$90k+,Virtual Assistant Extraordinaire,"9,411",30,$14.00,"['Microsoft Word', 'Microsoft Excel', 'Internet Research', 'Data Entry', 'Microsoft PowerPoint', 'Customer Service', 'Proofreading', 'Blog Writing', 'Email Handling', 'Internet Surveys']"
52,$10k+,"Web design, Site updates, Wordpress, html, and CSS",343,67,$16.88,"['WordPress', 'HTML5', 'CSS', 'Adobe Photoshop', 'Adobe Illustrator', 'JavaScript']"
53,$20k+,Project Manager/Copywriter/Editor/Customer Svc/Research,474,21,$40.00,"['Strategic Planning', 'Article Writing', 'Blog Writing', 'Content Writing', 'SEO Writing', 'Creative Writing', 'English Grammar', 'Project Management', 'Internet Research', 'Customer Service']"
54,$30k+,"Experienced Packaging, Graphic and Exhibit Design",296,76,$60.00,"['Adobe Illustrator', 'Microsoft Word', 'Microsoft PowerPoint', 'Adobe InDesign', 'Adobe After Effects', 'Adobe Dreamweaver', 'Adobe Photoshop', 'Final Cut Pro', 'Logo Design']"
55,$40k+,Seasoned Data and Analytics Consultant,671,37,$90.00,"['Visualization', 'Data Modeling', 'Strategic Planning', 'Microsoft Excel', 'Business Analysis', 'Process Improvement', 'Data Analytics', '""Extract, Transform and Load (ETL)""']"
56,$5k+,Bookkeeper,245,5,$25.00,"['Intuit QuickBooks', 'Payroll Processing', 'Accounts Payable Management', 'Accounts Receivable Management', 'Bank Reconciliation', 'Job Costing', 'Microsoft Excel']"
57,$5k+,Science and Travel Writer,239,4,$25.00,"['Adobe Creative Suite', 'Microsoft PowerPoint', 'Microsoft Excel', 'Environmental Science', 'Biology', 'Environmental Law', 'Travel Planning', 'Quality Control', 'Travel Writing', 'Customer Service']"
58,$50k+,Research/Email Support/Excel-Word/Data Entry/Media Marketing,"6,926",22,$10.00,"['Internet Research', 'Technical Support']"
59,$500k+,FileMaker Developer for the Mac and PC,"15,582",93,$50.00,"['FileMaker', 'Delphi', 'SQL', 'Database Programming', 'Database Management']"
60,$50k+,"Graphic Designer, Coffeeshop Addict","1,243",149,$40.00,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Brochure Design', 'Business Card Design', 'Concept Design', 'Flyer Design', 'Corporate Brand Identity', 'Graphic Design', 'Brand Marketing']"
61,$5k+,"Experienced Data Entry, Scraper, and Web Researcher",351,38,$12.50,"['Microsoft Excel', 'Internet Research', 'Google Docs', 'PDF Conversion', 'Data Entry', 'Lead Generation', 'LinkedIn Recruiting']"
62,$10k+,Project Manager|Business Analyst,642,25,$70.00,"['Project Management', 'Business Analysis', 'Research', 'Data Entry', 'Content Writing', 'Customer Service', 'Data Mining', 'Social Media Management']"
63,$100k+,"Top-quality researcher, editor, course developer",545,138,$74.80,"['Instructional Design', 'Qualitative Research', 'Academic Writing', 'Business Writing', 'Speech Writing', 'Linguistics', 'Editing', 'English Grammar', 'Microsoft Word']"
64,$100k+,Google Analytics Analyst & Troubleshooter,"1,966",242,$79.00,"['Google Analytics', 'Google Tag Manager', 'Internet Marketing', 'Google AdWords', 'Search Engine Optimization (SEO)', 'Pay Per Click Advertising', 'Web Analytics', 'WordPress', 'JavaScript', 'HTML']"
65,$9k+,Technical problem solver,914,3,$20.00,"['System Programming', 'Network Administration']"
66,$60k+,Editor and Proofreader,"1,956",95,$20.00,"['English', 'English Spelling', 'English Grammar', 'Copyediting', 'English Punctuation']"
67,$20k+,Your Detail Oriented Graphic Designer,507,76,$50.00,"['WordPress', 'Web Design', 'Logo Design', 'Print Design', 'Adobe Illustrator', 'Adobe Photoshop', 'Graphic Design', 'Adobe InDesign', 'Corporate Brand Identity', 'Adobe Dreamweaver']"
68,NA,"Voice-Over Actor, Writer, Editor - After Effects/Premiere Pro",NA,NA,NA,"['Adobe Premiere', 'Adobe After Effects', 'Video Editing', 'Animation', 'Adobe Photoshop', 'English', 'Camtasia', 'Voice Over', 'Voice Talent', 'Voice Over American Accent']"
69,$30k+,Freelance Writer,609,83,$30.00,"['Sales', 'Communications', 'Copywriting', 'Article Writing', 'Short Story Writing', 'Blog Writing']"
70,$20k+,YourDataGuru.com,506,11,$50.00,"['MySQL Programming', 'WordPress', 'Bash Shell Scripting', 'Amazon Web Services', 'Unix', 'SugarCRM Development']"
71,$30k+,"Expert web, print & social media designer",394,170,$55.00,"['Adobe Creative Suite', 'Adobe InDesign', 'Adobe Photoshop', 'Adobe Illustrator', 'Mac OSX Administration', 'Keynote', 'Adobe Dreamweaver', 'Adobe Flash', 'Facebook Marketing', 'Art Direction']"
72,$10k+,20 years experience in apparel industry,348,15,$46.67,[]
73,$10k+,Brand and Marketing Strategist | Social Media Manager | Writer,728,17,$30.00,"['Marketing Strategy', 'Brand Management', 'Social Media Marketing', 'Blog Writing', 'Internet Marketing', 'Writing', 'Content Writing', 'WordPress', 'Copywriting', 'Social Media Management']"
74,$30k+,CPA,"1,045",45,$40.00,"['Bookkeeping', 'Tax Preparation', 'Accounting', 'Accounts Payable Management', 'Accounts Receivable Management', 'Analytics', 'Financial Reporting', 'Human Resource Management', 'Inventory Management', 'Payroll Processing']"
75,$9k+,"Expert, Experienced Copy Editor (14+ years)",599,4,$20.00,"['Content Writing', 'Online Writing', 'English Grammar', 'Business Writing', 'Proofreading', 'Editing', 'Social Media Marketing', 'Technical Writing', 'Writing', 'Adobe Photoshop']"
76,$100k+,Educator with extensive writing experience,828,444,$24.44,"['Academic Writing', 'Content Writing', 'English', 'Editing', 'English Punctuation', 'Report Writing', 'Microsoft PowerPoint', 'Microsoft Word']"
77,$90k+,ACES Certified Editor & Proofreader,"4,452",153,$55.00,"['Editing', 'English', 'Proofreading', 'AP Style Writing', 'Research', 'Copyediting', 'Developmental Editing', 'Literature Review', 'Academic Writing', 'Recruiting']"
78,$10k+,Blockchain Engineer,282,3,$150.00,"['JavaScript', 'Go', 'Rust', 'Python', 'Distributed Computing', 'Blockchain Development', 'Cryptography', 'Natural Language Processing', 'Machine Learning', 'Virtual Machine']"
79,$80k+,Full Charge Bookkeeper/Accountant,"3,328",59,$45.00,"['Accounting', 'Bookkeeping', 'Accounts Payable Management', 'Accounts Receivable Management', 'Payroll Processing', 'Intuit QuickBooks', 'Xero', 'Microsoft Excel', 'Microsoft Word']"
80,$10k+,Financial Analyst/Excel Expert,527,45,$34.00,"['Microsoft Excel', 'Blog Writing', 'Microsoft PowerPoint', 'WordPress', 'Microsoft Word', 'Financial Analysis', 'Excel VBA']"
81,$20k+,Graphic Designer,549,202,$50.00,"['Graphic Design', 'Adobe Illustrator', 'Adobe InDesign', 'Photo Editing', 'Adobe Photoshop', 'Web Design', 'Adobe Acrobat', 'Logo Design', 'Microsoft Word', 'Microsoft Excel']"
82,$10k+,Trademark Attorney & Business Consultant,344,16,$275.00,"['Trademark Consulting', 'Intellectual Property Law', 'Legal Consulting', 'Writing', 'Contract Drafting', 'Negotiation', 'Entrepreneurship', 'Legal Writing']"
83,$10k+,Sr Front End Developer with expertise in ReactJS,261,8,$62.50,"['PSD to HTML', 'HTML5', 'CSS3', 'React.js', 'Ionic Framework', 'JavaScript', 'AngularJS', 'Translation English Dutch', 'Redux for JavaScript']"
84,$200k+,Internet Marketing & E-Commerce Expert - Top Rated,"2,981",74,$100.00,"['Internet Marketing', 'Google AdWords', 'Search Engine Optimization (SEO)', 'Search Engine Marketing (SEM)', 'Marketing Strategy', 'Conversion Rate Optimization', 'Project Management', 'Management Skills', 'Content Management', 'Pay Per Click Advertising']"
85,$800+,"photographer,photo editor,graphic/creative designer,data entry operato",NA,NA,$3.33,[]
86,$100k+,PHP / Zend Framework / Codeigniter developer,"6,412",22,$40.00,"['PHP', 'Zend Framework', 'MySQL Administration', 'JavaScript', 'Yii', 'API Development', 'Facebook Development', 'XML', 'SQL', 'Google+ Development']"
87,$100k+,Senior Java/J2EE developer,"2,861",2,$38.89,"['Java', 'J2EE', 'JavaScript', 'JavaServer Faces (JSF)', 'PrimeFaces', 'JBoss', 'Oracle Database', 'Greenplum', 'Subversion', 'Oracle WebLogic']"
88,$30k+,Accomplished Communications and Design Professional,"1,522",12,$25.00,"['Adobe InDesign', 'Adobe Illustrator', 'Adobe Photoshop', 'Microsoft Word', 'Adobe Acrobat', 'Microsoft PowerPoint', 'Microsoft Excel']"
89,$30k+,Bilingual/Native German-English and English-German Translator,"1,467",146,$20.00,"['Translation German English', 'Translation English German', 'English Proofreading', 'Blog Writing', 'Transcription', 'Subtitling', 'Data Entry']"
90,$40k+,"Marketing, Public Relations & Writing Consultant","2,044",33,$45.00,"['Market Research', 'Marketing Strategy', 'Social Media Marketing', 'Public Relations', 'Article Writing', 'Content Writing', 'Blog Writing', 'Business Proposal Writing', 'Customer Service', 'Customer Support']"
91,$40k+,"Zendesk, Ticket, Chat, Phone, Advocate and Leader","3,261",41,$30.00,"['Customer Support', 'Project Management', 'Customer Service', 'Zendesk', 'Chat Support', 'Email Technical Support', 'Social Media Management', 'SaaS', 'Management Consulting', 'Six Sigma']"
92,$30k+,Bookkeeping / Data Entry,"3,010",17,$14.00,"['Accounts Payable Management', 'Bookkeeping', 'Data Entry', 'Internet Research', 'Accounts Receivable Management', 'Microsoft Excel']"
93,$90k+,Executive Administrator / HR / Systems Setup / LinkedIn Recruiting,"1,373",46,$45.00,"['Microsoft Office', 'Project Management', 'Customer Support', 'Financial Reporting', 'Email Handling', 'Administrative Support', 'Google Docs', 'Asana', 'Trello', 'Boolean Search']"
94,$8k+,Project Manager,292,19,$45.00,"['Project Management', 'Calendar Management', 'Bookkeeping', 'Virtual Assistant', 'Recruiting', 'Data Entry', 'Email Marketing', 'Website Development', 'LinkedIn Development']"
95,$60k+,"Accomplished Editor, Writer, and Marketer",256,198,$65.00,"['Copyediting', 'Writing', 'Internet Marketing', 'Editorial Writing', 'Blog Writing', 'Press Release Writing', 'News Writing Style', 'Article Writing', 'Book Writing', 'Media Relations']"
96,$40k+,Marketing Professional with wide variety of skills,"2,240",9,$31.00,"['Google Website Optimizer', 'Amazon Web Services', 'Google Webmaster Central', 'Google Analytics', 'Web Services', 'Internet Marketing', 'Advertising', 'Computer Graphics', 'Microsoft Excel', 'Microsoft PowerPoint']"
97,$10k+,Document Publisher,276,119,$25.00,"['Microsoft Word', 'Microsoft Excel', 'Format & Layout', 'Adobe PDF', 'Data Entry', 'Typing', 'Document Conversion']"
98,$10k+,Writer & Editor,"5,597",1,$13.50,[]
99,$40k+,Marketing Comunications & Event Management,"4,191",12,$16.00,"['Internet Marketing', 'Marketing Strategy', 'Event Planning', 'Event Management', 'Project Management', 'Project Scheduling', 'Administrative Support', 'Internet Research', 'Creative & Talent', 'Writing']"
100,$7k+,"Customer Service, Professional Data Entry and Editor",863,9,$9.00,"['English Grammar', 'English Spelling', 'Technical Support', 'Data Entry', 'Web Research', 'Content Editing', 'Proofreading']"
101,$30k+,"JavaScript(React/Angular/Vue/Node), eCommerce, PHP Developer",478,23,$40.00,"['React Native', 'React.js', 'Redux for JavaScript', 'Vue.js', 'JavaScript', 'Firebase', 'Bootstrap', 'HTML5', 'CSS3', 'PHP']"
102,$5k+,Professional writing for professional results.,390,26,$12.00,[]
103,$30k+,Consultant Art Director,351,106,$39.00,"['Adobe InDesign', 'Adobe Photoshop', 'Adobe Illustrator', 'Microsoft Word', 'Microsoft Excel', 'Quark Xpress', 'Adobe Dreamweaver', 'Adobe Acrobat', 'Instagram Marketing', 'Facebook Marketing']"
104,$9k+,Virtual Personal/Executive Assistant,271,8,$50.00,"['Market Research', 'WordPress', 'Social Media Marketing', 'Virtual Assistant', 'Administrative Support', 'Email Marketing', 'Content Management', 'Google Apps', 'Project Management']"
105,$20k+,Technical SEO Expert and Digital Marketing Consultant,302,46,$69.00,"['Search Engine Optimization (SEO)', 'Content Marketing', 'On-Page Optimization', 'Off-page Optimization', 'Digital Marketing', 'WordPress', 'SEO Audit', 'Marketing Strategy', 'Shopify', 'SEO Keyword Research']"
106,$200k+,"Front End Web Designer, SEO & Ecommerce Expert","4,162",122,$60.50,"['PSD to HTML', 'WordPress', 'BigCommerce', 'Shopify', 'Web Design', 'CSS', 'Woocommerce', 'Ecommerce Platform Development', 'Adobe Photoshop', 'Content Management System']"
107,$8k+,Graphic Designer,289,35,$35.00,"['Adobe InDesign', 'Adobe Illustrator', 'Adobe Photoshop', 'Graphic Design', 'Computer Graphics']"
108,$30k+,Japanese - English Translator & Virtual Assistant,"1,961",9,$20.00,['Translation Japanese English']
109,$50k+,Creative Writer and Editor,825,90,$85.00,"['Academic Writing', 'Article Writing', 'Copyediting', 'Online Writing', 'Proofreading', 'Creative Writing']"
110,NA,Top Rated Project Manager and Virtual Assistant,NA,NA,NA,"['Advertising', 'Brand Consulting', 'MailChimp', 'Public Relations', 'Social Media Marketing', 'Administrative Support', 'Content Moderation', 'Customer Service', 'Event Planning', 'Microsoft Office']"
111,$10k+,Art Director & Graphic Designer,255,9,$90.00,"['Graphic Design', 'Adobe InDesign', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe Acrobat', 'Photo Retouching', 'Photo Manipulation', 'Logo Design', 'Copywriting', 'Copyediting']"
112,$50k+,Expert Customer Service & Project Manager,"2,531",9,$20.00,"['Microsoft Word', 'Microsoft Excel', 'Microsoft Outlook', 'Sales', 'Customer Service', 'Virtual Assistant']"
113,$5k+,"Writing, Editing, Superior Admin/Customer Support!",283,6,$16.00,"['Writing', 'Editing', 'Content Writing', 'Online Writing', 'Copywriting', 'Administrative Support', 'Resume Writing', 'Report Writing', 'Creative Writing', 'Business Writing']"
114,$90k+,PhD statistician,"1,873",3,$100.00,"['Biostatistics', 'SAS', 'R', 'Predictive Analytics', 'Machine Learning', 'Big Data', 'Genetic Algorithms', 'Stata', 'Statistics']"
115,NA,3D Architectural Rendering Designer,NA,NA,NA,"['3D Rendering', 'SketchUp', '3D Modeling', 'Architectural Rendering', 'Adobe Photoshop Lightroom', 'Adobe Photoshop', 'Interior Design']"
116,$50k+,Freelance Data Entry and Research Professional,"4,033",1,$12.50,"['Research', 'Internet Research', 'Data Entry', 'Microsoft Office', 'OpenOffice', 'Google Docs', 'HTML', 'CSS', 'Wiki', 'Typing']"
117,NA,I am an expert in helping others find their voice.,NA,NA,NA,"['Grant Writing', 'Academic Writing']"
118,$50k+,taking you from concept to bookstore shelves,NA,NA,$35.00,[]
119,$10k+,Expert Writer + Editor,222,32,$30.00,"['Editing', 'SEO Writing', 'Technical Writing', 'Adult Education', 'Copyediting', 'Proofreading', 'English Proofreading', 'Blog Writing', 'Academic Writing', 'Writing']"
120,$20k+,Attorney at Law,201,85,$200.00,"['Contract Drafting', 'Legal Writing', 'Quantitative Analysis', 'Legal Research', 'Blog Writing', 'Data Privacy', 'Business Law']"
121,NA,Professional Business Planning & Consultation Services,NA,NA,NA,"['Accounting', 'Bookkeeping', 'Business Writing', 'Business Planning', 'Business Valuation', 'Ecommerce Platform Development', 'Venture Capital Consulting', 'Startup Consulting', 'Bank Reconciliation', 'Market Research']"
122,$20k+,Expert Fundraiser and Grant Writer,433,67,$65.00,"['Grant Writing', 'Fundraising', 'Copywriting', 'Copyediting', 'Blog Writing', 'Business Proposal Writing', 'Proposal Writing', 'Nonprofit Organization', 'Business Development']"
123,$40k+,"Human Resources, Payroll, Bookkeeping Professional","2,288",32,$45.00,"['Human Resource Management', 'Payroll Processing', 'Financial Accounting', 'Accounting', 'Bookkeeping']"
124,$40k+,"Google Adwords, Shopping & Analytics Certified. Guaranteed Performance",538,29,$125.00,"['Google Analytics', 'Search Engine Optimization (SEO)', 'Internet Marketing', 'Google AdWords', 'Google AdSense']"
125,$20k+,"Creative Marketer, Content Developer, Brand Strategist",260,2,$75.00,[]
126,$80k+,Copywriter and product marketer,"3,173",139,$30.00,"['Blog Writing', 'Creative Writing', 'Press Release Writing', 'Article Writing', 'Copywriting', 'Copyediting', 'Editorial Writing', 'Editing']"
127,$100k+,Customer Care Representative,"11,524",3,$13.33,"['Web Design', 'Java', 'Ruby on Rails', 'CSS', 'HTML']"
128,$7k+,Professional English-Russian Translator,389,21,$22.00,"['Translation', 'Internet Research', 'Proofreading', 'Editing']"
129,$10k+,Logo Design | Sign Design | Graphic Design,216,51,$85.00,"['Adobe Illustrator', 'Adobe Photoshop', 'CorelDRAW', 'Logo Design', 'Graphic Design']"
130,$10k+,Experienced Writer and Administrative Assistant,"1,068",221,$9.98,"['Research', 'Data Entry', 'Reviews', 'WordPress', 'Editing', 'Google Docs', 'Twitter Marketing', 'Facebook Marketing', 'Microsoft Word', 'Microsoft Excel']"
131,$60k+,"Experienced, Professional and Reliable Software Engineer","3,344",35,$16.67,"['JavaScript', 'HTML5', 'CSS3', 'CSS', 'HTML', 'Node.js', 'WordPress', 'Ecommerce Platform Development', 'React.js', 'AngularJS']"
